audio,label
KsponSpeech_000001.pcm,KsponSpeech_label_000001.txt
KsponSpeech_000002.pcm,KsponSpeech_label_000002.txt
KsponSpeech_000003.pcm,KsponSpeech_label_000003.txt
KsponSpeech_000004.pcm,KsponSpeech_label_000004.txt
KsponSpeech_000005.pcm,KsponSpeech_label_000005.txt
KsponSpeech_000006.pcm,KsponSpeech_label_000006.txt
KsponSpeech_000007.pcm,KsponSpeech_label_000007.txt
KsponSpeech_000008.pcm,KsponSpeech_label_000008.txt
KsponSpeech_000009.pcm,KsponSpeech_label_000009.txt
KsponSpeech_000010.pcm,KsponSpeech_label_000010.txt
KsponSpeech_000011.pcm,KsponSpeech_label_000011.txt
KsponSpeech_000012.pcm,KsponSpeech_label_000012.txt
KsponSpeech_000013.pcm,KsponSpeech_label_000013.txt
KsponSpeech_000014.pcm,KsponSpeech_label_000014.txt
KsponSpeech_000015.pcm,KsponSpeech_label_000015.txt
KsponSpeech_000016.pcm,KsponSpeech_label_000016.txt
KsponSpeech_000017.pcm,KsponSpeech_label_000017.txt
KsponSpeech_000018.pcm,KsponSpeech_label_000018.txt
KsponSpeech_000019.pcm,KsponSpeech_label_000019.txt
KsponSpeech_000020.pcm,KsponSpeech_label_000020.txt
KsponSpeech_000021.pcm,KsponSpeech_label_000021.txt
KsponSpeech_000022.pcm,KsponSpeech_label_000022.txt
KsponSpeech_000023.pcm,KsponSpeech_label_000023.txt
KsponSpeech_000024.pcm,KsponSpeech_label_000024.txt
KsponSpeech_000025.pcm,KsponSpeech_label_000025.txt
KsponSpeech_000026.pcm,KsponSpeech_label_000026.txt
KsponSpeech_000027.pcm,KsponSpeech_label_000027.txt
KsponSpeech_000028.pcm,KsponSpeech_label_000028.txt
KsponSpeech_000029.pcm,KsponSpeech_label_000029.txt
KsponSpeech_000030.pcm,KsponSpeech_label_000030.txt
KsponSpeech_000031.pcm,KsponSpeech_label_000031.txt
KsponSpeech_000032.pcm,KsponSpeech_label_000032.txt
KsponSpeech_000033.pcm,KsponSpeech_label_000033.txt
KsponSpeech_000034.pcm,KsponSpeech_label_000034.txt
KsponSpeech_000035.pcm,KsponSpeech_label_000035.txt
KsponSpeech_000036.pcm,KsponSpeech_label_000036.txt
KsponSpeech_000037.pcm,KsponSpeech_label_000037.txt
KsponSpeech_000038.pcm,KsponSpeech_label_000038.txt
KsponSpeech_000039.pcm,KsponSpeech_label_000039.txt
KsponSpeech_000040.pcm,KsponSpeech_label_000040.txt
KsponSpeech_000041.pcm,KsponSpeech_label_000041.txt
KsponSpeech_000042.pcm,KsponSpeech_label_000042.txt
KsponSpeech_000043.pcm,KsponSpeech_label_000043.txt
KsponSpeech_000044.pcm,KsponSpeech_label_000044.txt
KsponSpeech_000045.pcm,KsponSpeech_label_000045.txt
KsponSpeech_000046.pcm,KsponSpeech_label_000046.txt
KsponSpeech_000047.pcm,KsponSpeech_label_000047.txt
KsponSpeech_000048.pcm,KsponSpeech_label_000048.txt
KsponSpeech_000049.pcm,KsponSpeech_label_000049.txt
KsponSpeech_000050.pcm,KsponSpeech_label_000050.txt
KsponSpeech_000051.pcm,KsponSpeech_label_000051.txt
KsponSpeech_000052.pcm,KsponSpeech_label_000052.txt
KsponSpeech_000053.pcm,KsponSpeech_label_000053.txt
KsponSpeech_000054.pcm,KsponSpeech_label_000054.txt
KsponSpeech_000055.pcm,KsponSpeech_label_000055.txt
KsponSpeech_000056.pcm,KsponSpeech_label_000056.txt
KsponSpeech_000057.pcm,KsponSpeech_label_000057.txt
KsponSpeech_000058.pcm,KsponSpeech_label_000058.txt
KsponSpeech_000059.pcm,KsponSpeech_label_000059.txt
KsponSpeech_000060.pcm,KsponSpeech_label_000060.txt
KsponSpeech_000061.pcm,KsponSpeech_label_000061.txt
KsponSpeech_000062.pcm,KsponSpeech_label_000062.txt
KsponSpeech_000063.pcm,KsponSpeech_label_000063.txt
KsponSpeech_000064.pcm,KsponSpeech_label_000064.txt
KsponSpeech_000065.pcm,KsponSpeech_label_000065.txt
KsponSpeech_000066.pcm,KsponSpeech_label_000066.txt
KsponSpeech_000067.pcm,KsponSpeech_label_000067.txt
KsponSpeech_000068.pcm,KsponSpeech_label_000068.txt
KsponSpeech_000069.pcm,KsponSpeech_label_000069.txt
KsponSpeech_000070.pcm,KsponSpeech_label_000070.txt
KsponSpeech_000071.pcm,KsponSpeech_label_000071.txt
KsponSpeech_000072.pcm,KsponSpeech_label_000072.txt
KsponSpeech_000073.pcm,KsponSpeech_label_000073.txt
KsponSpeech_000074.pcm,KsponSpeech_label_000074.txt
KsponSpeech_000075.pcm,KsponSpeech_label_000075.txt
KsponSpeech_000076.pcm,KsponSpeech_label_000076.txt
KsponSpeech_000077.pcm,KsponSpeech_label_000077.txt
KsponSpeech_000078.pcm,KsponSpeech_label_000078.txt
KsponSpeech_000079.pcm,KsponSpeech_label_000079.txt
KsponSpeech_000080.pcm,KsponSpeech_label_000080.txt
KsponSpeech_000081.pcm,KsponSpeech_label_000081.txt
KsponSpeech_000082.pcm,KsponSpeech_label_000082.txt
KsponSpeech_000083.pcm,KsponSpeech_label_000083.txt
KsponSpeech_000084.pcm,KsponSpeech_label_000084.txt
KsponSpeech_000085.pcm,KsponSpeech_label_000085.txt
KsponSpeech_000086.pcm,KsponSpeech_label_000086.txt
KsponSpeech_000087.pcm,KsponSpeech_label_000087.txt
KsponSpeech_000088.pcm,KsponSpeech_label_000088.txt
KsponSpeech_000089.pcm,KsponSpeech_label_000089.txt
KsponSpeech_000090.pcm,KsponSpeech_label_000090.txt
KsponSpeech_000091.pcm,KsponSpeech_label_000091.txt
KsponSpeech_000092.pcm,KsponSpeech_label_000092.txt
KsponSpeech_000093.pcm,KsponSpeech_label_000093.txt
KsponSpeech_000094.pcm,KsponSpeech_label_000094.txt
KsponSpeech_000095.pcm,KsponSpeech_label_000095.txt
KsponSpeech_000096.pcm,KsponSpeech_label_000096.txt
KsponSpeech_000097.pcm,KsponSpeech_label_000097.txt
KsponSpeech_000098.pcm,KsponSpeech_label_000098.txt
KsponSpeech_000099.pcm,KsponSpeech_label_000099.txt
KsponSpeech_000100.pcm,KsponSpeech_label_000100.txt
KsponSpeech_000101.pcm,KsponSpeech_label_000101.txt
KsponSpeech_000102.pcm,KsponSpeech_label_000102.txt
KsponSpeech_000103.pcm,KsponSpeech_label_000103.txt
KsponSpeech_000104.pcm,KsponSpeech_label_000104.txt
KsponSpeech_000105.pcm,KsponSpeech_label_000105.txt
KsponSpeech_000106.pcm,KsponSpeech_label_000106.txt
KsponSpeech_000107.pcm,KsponSpeech_label_000107.txt
KsponSpeech_000108.pcm,KsponSpeech_label_000108.txt
KsponSpeech_000109.pcm,KsponSpeech_label_000109.txt
KsponSpeech_000110.pcm,KsponSpeech_label_000110.txt
KsponSpeech_000111.pcm,KsponSpeech_label_000111.txt
KsponSpeech_000112.pcm,KsponSpeech_label_000112.txt
KsponSpeech_000113.pcm,KsponSpeech_label_000113.txt
KsponSpeech_000114.pcm,KsponSpeech_label_000114.txt
KsponSpeech_000115.pcm,KsponSpeech_label_000115.txt
KsponSpeech_000116.pcm,KsponSpeech_label_000116.txt
KsponSpeech_000117.pcm,KsponSpeech_label_000117.txt
KsponSpeech_000118.pcm,KsponSpeech_label_000118.txt
KsponSpeech_000119.pcm,KsponSpeech_label_000119.txt
KsponSpeech_000120.pcm,KsponSpeech_label_000120.txt
KsponSpeech_000121.pcm,KsponSpeech_label_000121.txt
KsponSpeech_000122.pcm,KsponSpeech_label_000122.txt
KsponSpeech_000123.pcm,KsponSpeech_label_000123.txt
KsponSpeech_000124.pcm,KsponSpeech_label_000124.txt
KsponSpeech_000125.pcm,KsponSpeech_label_000125.txt
KsponSpeech_000126.pcm,KsponSpeech_label_000126.txt
KsponSpeech_000127.pcm,KsponSpeech_label_000127.txt
KsponSpeech_000128.pcm,KsponSpeech_label_000128.txt
KsponSpeech_000129.pcm,KsponSpeech_label_000129.txt
KsponSpeech_000130.pcm,KsponSpeech_label_000130.txt
KsponSpeech_000131.pcm,KsponSpeech_label_000131.txt
KsponSpeech_000132.pcm,KsponSpeech_label_000132.txt
KsponSpeech_000133.pcm,KsponSpeech_label_000133.txt
KsponSpeech_000134.pcm,KsponSpeech_label_000134.txt
KsponSpeech_000135.pcm,KsponSpeech_label_000135.txt
KsponSpeech_000136.pcm,KsponSpeech_label_000136.txt
KsponSpeech_000137.pcm,KsponSpeech_label_000137.txt
KsponSpeech_000138.pcm,KsponSpeech_label_000138.txt
KsponSpeech_000139.pcm,KsponSpeech_label_000139.txt
KsponSpeech_000140.pcm,KsponSpeech_label_000140.txt
KsponSpeech_000141.pcm,KsponSpeech_label_000141.txt
KsponSpeech_000142.pcm,KsponSpeech_label_000142.txt
KsponSpeech_000143.pcm,KsponSpeech_label_000143.txt
KsponSpeech_000144.pcm,KsponSpeech_label_000144.txt
KsponSpeech_000145.pcm,KsponSpeech_label_000145.txt
KsponSpeech_000146.pcm,KsponSpeech_label_000146.txt
KsponSpeech_000147.pcm,KsponSpeech_label_000147.txt
KsponSpeech_000148.pcm,KsponSpeech_label_000148.txt
KsponSpeech_000149.pcm,KsponSpeech_label_000149.txt
KsponSpeech_000150.pcm,KsponSpeech_label_000150.txt
KsponSpeech_000151.pcm,KsponSpeech_label_000151.txt
KsponSpeech_000152.pcm,KsponSpeech_label_000152.txt
KsponSpeech_000153.pcm,KsponSpeech_label_000153.txt
KsponSpeech_000154.pcm,KsponSpeech_label_000154.txt
KsponSpeech_000155.pcm,KsponSpeech_label_000155.txt
KsponSpeech_000156.pcm,KsponSpeech_label_000156.txt
KsponSpeech_000157.pcm,KsponSpeech_label_000157.txt
KsponSpeech_000158.pcm,KsponSpeech_label_000158.txt
KsponSpeech_000159.pcm,KsponSpeech_label_000159.txt
KsponSpeech_000160.pcm,KsponSpeech_label_000160.txt
KsponSpeech_000161.pcm,KsponSpeech_label_000161.txt
KsponSpeech_000162.pcm,KsponSpeech_label_000162.txt
KsponSpeech_000163.pcm,KsponSpeech_label_000163.txt
KsponSpeech_000164.pcm,KsponSpeech_label_000164.txt
KsponSpeech_000165.pcm,KsponSpeech_label_000165.txt
KsponSpeech_000166.pcm,KsponSpeech_label_000166.txt
KsponSpeech_000167.pcm,KsponSpeech_label_000167.txt
KsponSpeech_000168.pcm,KsponSpeech_label_000168.txt
KsponSpeech_000169.pcm,KsponSpeech_label_000169.txt
KsponSpeech_000170.pcm,KsponSpeech_label_000170.txt
KsponSpeech_000171.pcm,KsponSpeech_label_000171.txt
KsponSpeech_000172.pcm,KsponSpeech_label_000172.txt
KsponSpeech_000173.pcm,KsponSpeech_label_000173.txt
KsponSpeech_000174.pcm,KsponSpeech_label_000174.txt
KsponSpeech_000175.pcm,KsponSpeech_label_000175.txt
KsponSpeech_000176.pcm,KsponSpeech_label_000176.txt
KsponSpeech_000177.pcm,KsponSpeech_label_000177.txt
KsponSpeech_000178.pcm,KsponSpeech_label_000178.txt
KsponSpeech_000179.pcm,KsponSpeech_label_000179.txt
KsponSpeech_000180.pcm,KsponSpeech_label_000180.txt
KsponSpeech_000181.pcm,KsponSpeech_label_000181.txt
KsponSpeech_000182.pcm,KsponSpeech_label_000182.txt
KsponSpeech_000183.pcm,KsponSpeech_label_000183.txt
KsponSpeech_000184.pcm,KsponSpeech_label_000184.txt
KsponSpeech_000185.pcm,KsponSpeech_label_000185.txt
KsponSpeech_000186.pcm,KsponSpeech_label_000186.txt
KsponSpeech_000187.pcm,KsponSpeech_label_000187.txt
KsponSpeech_000188.pcm,KsponSpeech_label_000188.txt
KsponSpeech_000189.pcm,KsponSpeech_label_000189.txt
KsponSpeech_000190.pcm,KsponSpeech_label_000190.txt
KsponSpeech_000191.pcm,KsponSpeech_label_000191.txt
KsponSpeech_000192.pcm,KsponSpeech_label_000192.txt
KsponSpeech_000193.pcm,KsponSpeech_label_000193.txt
KsponSpeech_000194.pcm,KsponSpeech_label_000194.txt
KsponSpeech_000195.pcm,KsponSpeech_label_000195.txt
KsponSpeech_000196.pcm,KsponSpeech_label_000196.txt
KsponSpeech_000197.pcm,KsponSpeech_label_000197.txt
KsponSpeech_000198.pcm,KsponSpeech_label_000198.txt
KsponSpeech_000199.pcm,KsponSpeech_label_000199.txt
KsponSpeech_000200.pcm,KsponSpeech_label_000200.txt
KsponSpeech_000201.pcm,KsponSpeech_label_000201.txt
KsponSpeech_000202.pcm,KsponSpeech_label_000202.txt
KsponSpeech_000203.pcm,KsponSpeech_label_000203.txt
KsponSpeech_000204.pcm,KsponSpeech_label_000204.txt
KsponSpeech_000205.pcm,KsponSpeech_label_000205.txt
KsponSpeech_000206.pcm,KsponSpeech_label_000206.txt
KsponSpeech_000207.pcm,KsponSpeech_label_000207.txt
KsponSpeech_000208.pcm,KsponSpeech_label_000208.txt
KsponSpeech_000209.pcm,KsponSpeech_label_000209.txt
KsponSpeech_000210.pcm,KsponSpeech_label_000210.txt
KsponSpeech_000211.pcm,KsponSpeech_label_000211.txt
KsponSpeech_000212.pcm,KsponSpeech_label_000212.txt
KsponSpeech_000213.pcm,KsponSpeech_label_000213.txt
KsponSpeech_000214.pcm,KsponSpeech_label_000214.txt
KsponSpeech_000215.pcm,KsponSpeech_label_000215.txt
KsponSpeech_000216.pcm,KsponSpeech_label_000216.txt
KsponSpeech_000217.pcm,KsponSpeech_label_000217.txt
KsponSpeech_000218.pcm,KsponSpeech_label_000218.txt
KsponSpeech_000219.pcm,KsponSpeech_label_000219.txt
KsponSpeech_000220.pcm,KsponSpeech_label_000220.txt
KsponSpeech_000221.pcm,KsponSpeech_label_000221.txt
KsponSpeech_000222.pcm,KsponSpeech_label_000222.txt
KsponSpeech_000223.pcm,KsponSpeech_label_000223.txt
KsponSpeech_000224.pcm,KsponSpeech_label_000224.txt
KsponSpeech_000225.pcm,KsponSpeech_label_000225.txt
KsponSpeech_000226.pcm,KsponSpeech_label_000226.txt
KsponSpeech_000227.pcm,KsponSpeech_label_000227.txt
KsponSpeech_000228.pcm,KsponSpeech_label_000228.txt
KsponSpeech_000229.pcm,KsponSpeech_label_000229.txt
KsponSpeech_000230.pcm,KsponSpeech_label_000230.txt
KsponSpeech_000231.pcm,KsponSpeech_label_000231.txt
KsponSpeech_000232.pcm,KsponSpeech_label_000232.txt
KsponSpeech_000233.pcm,KsponSpeech_label_000233.txt
KsponSpeech_000234.pcm,KsponSpeech_label_000234.txt
KsponSpeech_000235.pcm,KsponSpeech_label_000235.txt
KsponSpeech_000236.pcm,KsponSpeech_label_000236.txt
KsponSpeech_000237.pcm,KsponSpeech_label_000237.txt
KsponSpeech_000238.pcm,KsponSpeech_label_000238.txt
KsponSpeech_000239.pcm,KsponSpeech_label_000239.txt
KsponSpeech_000240.pcm,KsponSpeech_label_000240.txt
KsponSpeech_000241.pcm,KsponSpeech_label_000241.txt
KsponSpeech_000242.pcm,KsponSpeech_label_000242.txt
KsponSpeech_000243.pcm,KsponSpeech_label_000243.txt
KsponSpeech_000244.pcm,KsponSpeech_label_000244.txt
KsponSpeech_000245.pcm,KsponSpeech_label_000245.txt
KsponSpeech_000246.pcm,KsponSpeech_label_000246.txt
KsponSpeech_000247.pcm,KsponSpeech_label_000247.txt
KsponSpeech_000248.pcm,KsponSpeech_label_000248.txt
KsponSpeech_000249.pcm,KsponSpeech_label_000249.txt
KsponSpeech_000250.pcm,KsponSpeech_label_000250.txt
KsponSpeech_000251.pcm,KsponSpeech_label_000251.txt
KsponSpeech_000252.pcm,KsponSpeech_label_000252.txt
KsponSpeech_000253.pcm,KsponSpeech_label_000253.txt
KsponSpeech_000254.pcm,KsponSpeech_label_000254.txt
KsponSpeech_000255.pcm,KsponSpeech_label_000255.txt
KsponSpeech_000256.pcm,KsponSpeech_label_000256.txt
KsponSpeech_000257.pcm,KsponSpeech_label_000257.txt
KsponSpeech_000258.pcm,KsponSpeech_label_000258.txt
KsponSpeech_000259.pcm,KsponSpeech_label_000259.txt
KsponSpeech_000260.pcm,KsponSpeech_label_000260.txt
KsponSpeech_000261.pcm,KsponSpeech_label_000261.txt
KsponSpeech_000262.pcm,KsponSpeech_label_000262.txt
KsponSpeech_000263.pcm,KsponSpeech_label_000263.txt
KsponSpeech_000264.pcm,KsponSpeech_label_000264.txt
KsponSpeech_000265.pcm,KsponSpeech_label_000265.txt
KsponSpeech_000266.pcm,KsponSpeech_label_000266.txt
KsponSpeech_000267.pcm,KsponSpeech_label_000267.txt
KsponSpeech_000268.pcm,KsponSpeech_label_000268.txt
KsponSpeech_000269.pcm,KsponSpeech_label_000269.txt
KsponSpeech_000270.pcm,KsponSpeech_label_000270.txt
KsponSpeech_000271.pcm,KsponSpeech_label_000271.txt
KsponSpeech_000272.pcm,KsponSpeech_label_000272.txt
KsponSpeech_000273.pcm,KsponSpeech_label_000273.txt
KsponSpeech_000274.pcm,KsponSpeech_label_000274.txt
KsponSpeech_000275.pcm,KsponSpeech_label_000275.txt
KsponSpeech_000276.pcm,KsponSpeech_label_000276.txt
KsponSpeech_000277.pcm,KsponSpeech_label_000277.txt
KsponSpeech_000278.pcm,KsponSpeech_label_000278.txt
KsponSpeech_000279.pcm,KsponSpeech_label_000279.txt
KsponSpeech_000280.pcm,KsponSpeech_label_000280.txt
KsponSpeech_000281.pcm,KsponSpeech_label_000281.txt
KsponSpeech_000282.pcm,KsponSpeech_label_000282.txt
KsponSpeech_000283.pcm,KsponSpeech_label_000283.txt
KsponSpeech_000284.pcm,KsponSpeech_label_000284.txt
KsponSpeech_000285.pcm,KsponSpeech_label_000285.txt
KsponSpeech_000286.pcm,KsponSpeech_label_000286.txt
KsponSpeech_000287.pcm,KsponSpeech_label_000287.txt
KsponSpeech_000288.pcm,KsponSpeech_label_000288.txt
KsponSpeech_000289.pcm,KsponSpeech_label_000289.txt
KsponSpeech_000290.pcm,KsponSpeech_label_000290.txt
KsponSpeech_000291.pcm,KsponSpeech_label_000291.txt
KsponSpeech_000292.pcm,KsponSpeech_label_000292.txt
KsponSpeech_000293.pcm,KsponSpeech_label_000293.txt
KsponSpeech_000294.pcm,KsponSpeech_label_000294.txt
KsponSpeech_000295.pcm,KsponSpeech_label_000295.txt
KsponSpeech_000296.pcm,KsponSpeech_label_000296.txt
KsponSpeech_000297.pcm,KsponSpeech_label_000297.txt
KsponSpeech_000298.pcm,KsponSpeech_label_000298.txt
KsponSpeech_000299.pcm,KsponSpeech_label_000299.txt
KsponSpeech_000300.pcm,KsponSpeech_label_000300.txt
KsponSpeech_000301.pcm,KsponSpeech_label_000301.txt
KsponSpeech_000302.pcm,KsponSpeech_label_000302.txt
KsponSpeech_000303.pcm,KsponSpeech_label_000303.txt
KsponSpeech_000304.pcm,KsponSpeech_label_000304.txt
KsponSpeech_000305.pcm,KsponSpeech_label_000305.txt
KsponSpeech_000306.pcm,KsponSpeech_label_000306.txt
KsponSpeech_000307.pcm,KsponSpeech_label_000307.txt
KsponSpeech_000308.pcm,KsponSpeech_label_000308.txt
KsponSpeech_000309.pcm,KsponSpeech_label_000309.txt
KsponSpeech_000310.pcm,KsponSpeech_label_000310.txt
KsponSpeech_000311.pcm,KsponSpeech_label_000311.txt
KsponSpeech_000312.pcm,KsponSpeech_label_000312.txt
KsponSpeech_000313.pcm,KsponSpeech_label_000313.txt
KsponSpeech_000314.pcm,KsponSpeech_label_000314.txt
KsponSpeech_000315.pcm,KsponSpeech_label_000315.txt
KsponSpeech_000316.pcm,KsponSpeech_label_000316.txt
KsponSpeech_000317.pcm,KsponSpeech_label_000317.txt
KsponSpeech_000318.pcm,KsponSpeech_label_000318.txt
KsponSpeech_000319.pcm,KsponSpeech_label_000319.txt
KsponSpeech_000320.pcm,KsponSpeech_label_000320.txt
KsponSpeech_000321.pcm,KsponSpeech_label_000321.txt
KsponSpeech_000322.pcm,KsponSpeech_label_000322.txt
KsponSpeech_000323.pcm,KsponSpeech_label_000323.txt
KsponSpeech_000324.pcm,KsponSpeech_label_000324.txt
KsponSpeech_000325.pcm,KsponSpeech_label_000325.txt
KsponSpeech_000326.pcm,KsponSpeech_label_000326.txt
KsponSpeech_000327.pcm,KsponSpeech_label_000327.txt
KsponSpeech_000328.pcm,KsponSpeech_label_000328.txt
KsponSpeech_000329.pcm,KsponSpeech_label_000329.txt
KsponSpeech_000330.pcm,KsponSpeech_label_000330.txt
KsponSpeech_000331.pcm,KsponSpeech_label_000331.txt
KsponSpeech_000332.pcm,KsponSpeech_label_000332.txt
KsponSpeech_000333.pcm,KsponSpeech_label_000333.txt
